date,range,count
2014-07,Under 5,15.322128851540617
2014-07,Over 10,11.288515406162466
2014-07,Everything Else,73.38935574229691
2014-08,Under 5,24.059174669089025
2014-08,Over 10,10.277705683882688
2014-08,Everything Else,65.6631196470283
2014-09,Under 5,22.6468910439247
2014-09,Over 10,14.147176269252709
2014-09,Everything Else,63.205932686822585
2014-10,Under 5,20.037960954446852
2014-10,Over 10,10.005422993492408
2014-10,Everything Else,69.95661605206074
2014-11,Under 5,27.697509990777743
2014-11,Over 10,11.128189363664308
2014-11,Everything Else,61.17430064555794
2014-12,Under 5,36.824132043255545
2014-12,Over 10,10.073989755264655
2014-12,Everything Else,53.10187820147979
2015-01,Under 5,32.12170166935918
2015-01,Over 10,10.743134087237479
2015-01,Everything Else,57.13516424340334
2015-02,Under 5,37.770669291338585
2015-02,Over 10,9.719488188976378
2015-02,Everything Else,52.50984251968504
2015-03,Under 5,54.33302383163108
2015-03,Over 10,7.489941194676571
2015-03,Everything Else,38.17703497369235
2015-04,Under 5,57.026194144838215
2015-04,Over 10,7.195685670261942
2015-04,Everything Else,35.77812018489985
2015-05,Under 5,57.1591464407884
2015-05,Over 10,7.541944942172993
2015-05,Everything Else,35.298908617038606
2015-06,Under 5,43.5745422842197
2015-06,Over 10,10.427201394943332
2015-06,Everything Else,45.998256320836965
2015-07,Under 5,51.94899289957977
2015-07,Over 10,9.375452832922765
2015-07,Everything Else,38.67555426749746
2015-08,Under 5,44.14458619561662
2015-08,Over 10,8.946679751390253
2015-08,Everything Else,46.908734052993125
2015-09,Under 5,61.58140938584579
2015-09,Over 10,6.533876565565112
2015-09,Everything Else,31.884714048589107
2015-10,Under 5,70.33434650455928
2015-10,Over 10,4.632218844984803
2015-10,Everything Else,25.033434650455927
2015-11,Under 5,72.28248837724152
2015-11,Over 10,4.538410449413328
2015-11,Everything Else,23.17910117334514
2015-12,Under 5,77.04976408795513
2015-12,Over 10,3.44520608920146
2015-12,Everything Else,19.505029822843408
2016-01,Under 5,68.22019297036526
2016-01,Over 10,4.79841488628532
2016-01,Everything Else,26.981392143349414
2016-02,Under 5,58.20002989983555
2016-02,Over 10,6.08461653460906
2016-02,Everything Else,35.71535356555539
2016-03,Under 5,55.158501440922194
2016-03,Over 10,8.011527377521615
2016-03,Everything Else,36.829971181556196
2016-04,Under 5,59.849157054126
2016-04,Over 10,6.362023070097604
2016-04,Everything Else,33.7888198757764
2016-05,Under 5,41.87750828825685
2016-05,Over 10,10.17274472168906
2016-05,Everything Else,47.949746990054095
2016-06,Under 5,40.360334799262304
2016-06,Over 10,6.412257057738686
2016-06,Everything Else,53.22740814299901
2016-07,Under 5,27.123069936421434
2016-07,Over 10,6.67574931880109
2016-07,Everything Else,66.20118074477747
2016-08,Under 5,16.01642710472279
2016-08,Over 10,7.260193605162804
2016-08,Everything Else,76.72337929011441
2016-09,Under 5,20.020222446916076
2016-09,Over 10,6.297847753863932
2016-09,Everything Else,73.68192979921999
2016-10,Under 5,24.377224199288257
2016-10,Over 10,5.846466700559228
2016-10,Everything Else,69.77630910015252
2016-11,Under 5,16.097413096200487
2016-11,Over 10,4.021827000808408
2016-11,Everything Else,79.8807599029911
2016-12,Under 5,7.468307918427337
2016-12,Over 10,3.6193275767040234
2016-12,Everything Else,88.91236450486863
2017-01,Under 5,18.119979738041827
2017-01,Over 10,3.2925682031984946
2017-01,Everything Else,78.58745205875968
2017-02,Under 5,11.891696750902527
2017-02,Over 10,7.046931407942238
2017-02,Everything Else,81.06137184115524
2017-03,Under 5,4.094476528950096
2017-03,Over 10,4.2351547460387975
2017-03,Everything Else,91.67036872501112
2017-04,Under 5,3.9215686274509802
2017-04,Over 10,4.011007911936704
2017-04,Everything Else,92.06742346061232
2017-05,Under 5,4.957687411068674
2017-05,Over 10,4.67310716692878
2017-05,Everything Else,90.36920542200254
2017-06,Under 5,3.8868590147410864
2017-06,Over 10,3.9624543278316744
2017-06,Everything Else,92.15068665742724
2017-07,Under 5,5.774078199191043
2017-07,Over 10,4.789260800750337
2017-07,Everything Else,89.43666100005862
2017-08,Under 5,6.394905601148033
2017-08,Over 10,2.686219112964707
2017-08,Everything Else,90.91887528588725
2017-09,Under 5,6.188180682021067
2017-09,Over 10,1.3818960899839314
2017-09,Everything Else,92.429923227995
2017-10,Under 5,4.792604720971482
2017-10,Over 10,1.5452312730249693
2017-10,Everything Else,93.66216400600355
2017-11,Under 5,4.055900472229547
2017-11,Over 10,1.7091353644797085
2017-11,Everything Else,94.23496416329074
2017-12,Under 5,1.6237638074129395
2017-12,Over 10,0.7034703735379501
2017-12,Everything Else,97.67276581904912
2018-01,Under 5,1.683390908592422
2018-01,Over 10,0.7040631682842573
2018-01,Everything Else,97.61254592312332
2018-02,Under 5,2.8998805857582806
2018-02,Over 10,0.7441392747156056
2018-02,Everything Else,96.35598013952611
2018-03,Under 5,2.955513366514444
2018-03,Over 10,0.9377084509210324
2018-03,Everything Else,96.10677818256453
2018-04,Under 5,2.502691423330985
2018-04,Over 10,0.9104320897406929
2018-04,Everything Else,96.58687648692832
2018-05,Under 5,5.540263385146805
2018-05,Over 10,1.1091321243523315
2018-05,Everything Else,93.35060449050087
2018-06,Under 5,9.014061227140175
2018-06,Over 10,1.0956187058004039
2018-06,Everything Else,89.89032006705942
2018-07,Under 5,10.494258903071632
2018-07,Over 10,1.32453226088477
2018-07,Everything Else,88.1812088360436
2018-08,Under 5,12.808252018297503
2018-08,Over 10,1.1494252873563218
2018-08,Everything Else,86.04232269434617
2018-09,Under 5,3.0878568802842787
2018-09,Over 10,0.8114473988754102
2018-09,Everything Else,96.1006957208403
2018-10,Under 5,1.0205016024825762
2018-10,Over 10,0.9889606755863052
2018-10,Everything Else,97.99053772193112
2018-11,Under 5,1.7964168853468103
2018-11,Over 10,1.4530080668675285
2018-11,Everything Else,96.75057504778566
2018-12,Under 5,1.4761220056903355
2018-12,Over 10,1.1916052253189342
2018-12,Everything Else,97.33227276899073
2019-01,Under 5,1.123492596550145
2019-01,Over 10,2.4072660662494276
2019-01,Everything Else,96.46924133720043
2019-02,Under 5,1.757431113039705
2019-02,Over 10,3.0972011282273813
2019-02,Everything Else,95.14536775873292
2019-03,Under 5,1.357654763375757
2019-03,Over 10,1.7808600024712715
2019-03,Everything Else,96.86148523415297
2019-04,Under 5,2.1009784339999493
2019-04,Over 10,2.290597426238212
2019-04,Everything Else,95.60842413976184
2019-05,Under 5,5.183388298032297
2019-05,Over 10,9.874600294704344
2019-05,Everything Else,84.94201140726337
2019-06,Under 5,5.481533547646858
2019-06,Over 10,13.045905130086933
2019-06,Everything Else,81.47256132226622
2019-07,Under 5,2.5280408601952984
2019-07,Over 10,11.0638532413489
2019-07,Everything Else,86.4081058984558
2019-08,Under 5,2.3393900347382446
2019-08,Over 10,9.65966968195788
2019-08,Everything Else,88.00094028330388
2019-09,Under 5,4.457284358233594
2019-09,Over 10,63.76392901361948
2019-09,Everything Else,31.778786628146925
2019-10,Under 5,0
2019-10,Over 10,96.03815113719736
2019-10,Everything Else,3.9618488628026407
2019-11,Under 5,0
2019-11,Over 10,93.48837209302326
2019-11,Everything Else,6.511627906976744
2019-12,Under 5,0
2019-12,Over 10,92.96458030082484
2019-12,Everything Else,7.035419699175158
